<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.08.20	10:11:00	24833	24843	24832	24835	52	0	14
2021.08.20	10:12:00	24835	24873	24835	24871	58	0	14
2021.08.20	10:13:00	24871	24884	24860	24880	51	0	14
2021.08.20	10:14:00	24880	24885	24865	24865	69	0	14
2021.08.20	10:15:00	24865	24869	24860	24863	37	0	14
2021.08.20	10:16:00	24863	24889	24861	24886	46	0	14
2021.08.20	10:17:00	24886	24900	24879	24897	47	0	14
2021.08.20	10:18:00	24897	24897	24870	24874	67	0	14
2021.08.20	10:19:00	24874	24878	24852	24867	53	0	14
2021.08.20	10:20:00	24867	24879	24859	24870	58	0	14
2021.08.20	10:21:00	24870	24871	24851	24858	56	0	14
2021.08.20	10:22:00	24858	24872	24856	24862	52	0	14
2021.08.20	10:23:00	24862	24868	24856	24857	43	0	14
2021.08.20	10:24:00	24857	24859	24845	24845	44	0	14
2021.08.20	10:25:00	24844	24844	24818	24818	67	0	14
2021.08.20	10:26:00	24818	24828	24818	24823	51	0	14
2021.08.20	10:27:00	24823	24824	24798	24800	73	0	14
2021.08.20	10:28:00	24800	24809	24798	24805	50	0	14
2021.08.20	10:29:00	24805	24810	24796	24800	41	0	14
2021.08.20	10:30:00	24800	24814	24794	24814	58	0	14
2021.08.20	10:31:00	24814	24822	24811	24820	53	0	14
2021.08.20	10:32:00	24820	24842	24819	24837	55	0	14
2021.08.20	10:33:00	24837	24842	24822	24824	48	0	14
2021.08.20	10:34:00	24824	24829	24814	24816	31	0	14
2021.08.20	10:35:00	24816	24817	24790	24794	53	0	14
2021.08.20	10:36:00	24794	24796	24785	24791	46	0	14
2021.08.20	10:37:00	24791	24797	24787	24790	43	0	14
2021.08.20	10:38:00	24790	24795	24785	24794	44	0	14
2021.08.20	10:39:00	24794	24802	24788	24802	40	0	14
2021.08.20	10:40:00	24802	24814	24799	24799	61	0	14
2021.08.20	10:41:00	24799	24800	24788	24797	48	0	14
2021.08.20	10:42:00	24797	24810	24793	24809	51	0	14
2021.08.20	10:43:00	24808	24813	24804	24813	45	0	14
2021.08.20	10:44:00	24813	24813	24802	24805	47	0	14
2021.08.20	10:45:00	24805	24805	24785	24793	55	0	14
2021.08.20	10:46:00	24793	24802	24781	24783	53	0	14
2021.08.20	10:47:00	24783	24792	24781	24790	39	0	14
2021.08.20	10:48:00	24790	24792	24775	24777	45	0	14
2021.08.20	10:49:00	24777	24793	24776	24788	53	0	14
2021.08.20	10:50:00	24785	24791	24777	24788	51	0	14
2021.08.20	10:51:00	24788	24807	24788	24804	48	0	14
2021.08.20	10:52:00	24804	24811	24801	24806	54	0	14
2021.08.20	10:53:00	24806	24807	24794	24796	46	0	14
2021.08.20	10:54:00	24796	24810	24792	24802	54	0	14
2021.08.20	10:55:00	24802	24810	24792	24800	51	0	14
2021.08.20	10:56:00	24800	24815	24800	24813	60	0	14
2021.08.20	10:57:00	24813	24824	24813	24818	50	0	14
2021.08.20	10:58:00	24818	24835	24818	24835	50	0	14
2021.08.20	10:59:00	24835	24835	24816	24825	77	0	14
2021.08.20	11:00:00	24825	24834	24824	24830	49	0	14
2021.08.20	11:01:00	24830	24841	24822	24837	45	0	14
2021.08.20	11:02:00	24837	24844	24828	24828	54	0	14
2021.08.20	11:03:00	24828	24841	24826	24832	56	0	14
2021.08.20	11:04:00	24832	24840	24814	24818	44	0	14
2021.08.20	11:05:00	24818	24830	24818	24820	43	0	14
2021.08.20	11:06:00	24815	24831	24815	24821	64	0	14
2021.08.20	11:07:00	24821	24841	24821	24828	50	0	14
2021.08.20	11:08:00	24828	24840	24824	24840	52	0	14
2021.08.20	11:09:00	24840	24840	24801	24801	59	0	14
